#left_bin_val right_bin_val probability stderr
0.3 0.4 7e-07 2.02485e-07
0.4 0.5 6e-06 8.7178e-07
0.5 0.6 4.08e-05 2.45683e-06
0.6 0.7 0.0002001 4.80718e-06
0.7 0.8 0.0009046 9.80122e-06
0.80 0.81 0.001936 4.22422e-05
0.81 0.82 0.002224 5.30321e-05
0.82 0.83 0.0027 5.05371e-05
0.83 0.84 0.003181 4.8155e-05
0.84 0.85 0.003753 5.28971e-05
0.85 0.86 0.004584 4.88098e-05
0.86 0.87 0.005774 5.9803e-05
0.87 0.88 0.007092 5.57459e-05
0.88 0.89 0.009437 8.28981e-05
0.89 0.9 0.014044 0.000104625
0.900 0.901 0.01928 0.000231862
0.901 0.902 0.02118 0.000353497
0.902 0.903 0.0236 0.00052915
0.903 0.904 0.02574 0.000307636
0.904 0.905 0.02928 0.000353497
0.905 0.906 0.03248 0.000597126
0.906 0.907 0.03445 0.00031217
0.907 0.908 0.03686 0.000316291
0.908 0.909 0.03449 0.000621844
0.909 0.91 0.03064 0.000379789
0.910 0.911 0.02261 0.000575925
0.911 0.912 0.01497 0.000357785
0.912 0.913 0.00733 0.000203985
0.913 0.914 0.00313 0.000174957
0.914 0.915 0.00118 8.09938e-05
0.915 0.916 0.0003 6.9282e-05
0.916 0.917 1e-05 9.48683e-06
