#n_data 100
#contour_separation contact_probability stderr
3 0.156983 0.00213588
5 0.078312 0.00141709
7 0.0471025 0.00113379
9 0.0312733 0.000850302
11 0.0236171 0.000767581
13 0.0174185 0.000698637
15 0.0140336 0.000616512
17 0.0106203 0.000488234
19 0.00966034 0.000580251
21 0.0081062 0.00047361
23 0.00751908 0.000528103
25 0.00659325 0.000438608
27 0.00627432 0.000488962
29 0.00617867 0.000485494
31 0.00529174 0.00040916
33 0.00447679 0.000351395
35 0.00390785 0.000372553
37 0.00325773 0.000346121
39 0.00284554 0.000343772
41 0.00331522 0.000330842
43 0.00305581 0.000339875
45 0.00256769 0.00031453
47 0.00245242 0.000326046
49 0.00213148 0.000330197
51 0.0027447 0.000352819
53 0.00232368 0.000345447
55 0.00242913 0.000287915
57 0.0020324 0.000292401
59 0.00212286 0.000311542
61 0.00198667 0.000296244
63 0.00172115 0.000273615
65 0.00151383 0.000229111
67 0.00148743 0.000206387
69 0.00163817 0.000270939
71 0.00157894 0.00025795
73 0.0016035 0.000268958
75 0.0017448 0.000276477
77 0.00156727 0.000259603
79 0.00116135 0.000249095
81 0.00134119 0.000235281
83 0.00118507 0.000233753
85 0.00120574 0.000212553
87 0.00129786 0.000301489
89 0.00112544 0.00021919
91 0.000970874 0.000237172
93 0.0010277 0.00021903
95 0.00110018 0.000221379
97 0.000998935 0.000195488
99 0.00107167 0.000241888
101 0.000983848 0.000224771
103 0.000822737 0.000225701
105 0.000657279 0.000182652
107 0.00111732 0.000239525
109 0.00111238 0.000197627
111 0.00103862 0.00022671
113 0.000771832 0.00019282
115 0.000637897 0.000171151
117 0.000625356 0.000146251
119 0.000786918 0.000199873
121 0.00081064 0.000186712
123 0.000667042 0.000170277
125 0.000886659 0.000225752
127 0.000548799 0.000118997
129 0.000718089 0.000170655
131 0.00055269 0.000136941
133 0.000512433 0.00018454
135 0.000776915 0.000246371
137 0.000555959 0.000136557
139 0.000538645 0.00014166
141 0.000685878 0.000183317
143 0.000775308 0.000165811
145 0.000829916 0.000197215
147 0.000764497 0.000172042
149 0.000617346 0.000140594
151 0.000545024 0.000162921
153 0.000511469 0.000160663
155 0.000633924 0.000149867
157 0.000720918 0.000215995
159 0.000516473 0.000143565
161 0.000410958 0.000125271
163 0.000635692 0.000199244
165 0.000616789 0.000175177
167 0.000592701 0.000163273
169 0.000581761 0.000170429
171 0.000715206 0.000187774
173 0.000402244 0.000114687
175 0.000494721 0.000171393
177 0.000630091 0.000206176
179 0.000435252 0.000165706
181 0.000298568 0.000115946
183 0.000342217 0.000108344
185 0.000424362 0.000150827
187 0.000399407 0.000148316
189 0.000404434 0.000120191
191 0.000189884 7.53589e-05
193 0.000518196 0.000166312
195 0.00021822 9.07743e-05
197 0.000355322 0.000168836
199 0.000236182 9.95615e-05
201 0.000239017 9.81024e-05
203 0.000573473 0.000193949
205 0.0002535 0.000127783
207 0.000279981 0.000125449
209 0.000360173 0.000123105
211 0.000366813 0.000124703
213 0.000796532 0.000253286
215 0.000543567 0.00017184
217 0.000356712 0.000118506
219 0.000487389 0.000149584
221 0.000267652 0.00010209
223 0.000274764 0.000131385
225 0.000339521 0.000123613
227 0.00011708 6.68366e-05
229 0.000147043 7.23612e-05
231 0.000449127 0.000234147
233 7.3189e-05 5.17668e-05
235 0.000146515 8.76019e-05
237 0.000287141 0.000139262
239 0.00034759 0.000230978
241 0.000341957 0.000181284
243 0.00021645 9.7283e-05
245 0.000260237 0.000121411
247 0.000191083 0.000103354
249 7.44843e-05 5.25744e-05
251 0.000114617 6.5817e-05
253 0.000125572 7.1663e-05
255 7.35543e-05 5.14969e-05
257 0.000248611 0.000104443
259 0.000265071 9.69256e-05
261 7.70153e-05 5.39437e-05
263 0.000120482 0.000119878
265 0.000146249 8.64691e-05
267 0.000258451 0.000119246
269 0.00011436 8.43809e-05
271 0.000261813 0.000198696
273 0.000175254 0.000104355
275 0.000120437 8.69232e-05
277 0.000244796 0.000163432
279 8.42508e-05 5.92405e-05
281 7.46934e-05 5.23091e-05
283 3.64964e-05 3.63135e-05
285 0.000122743 7.00166e-05
287 7.87402e-05 7.83455e-05
289 7.43504e-05 5.20456e-05
291 0.000117101 6.66994e-05
293 0.000178281 0.000126347
295 0.000177592 0.000103013
297 0.000396606 0.000236703
299 0.000380939 0.000205131
301 9.70534e-05 6.83398e-05
303 0.000106161 7.43345e-05
305 0.000143051 0.000102844
307 0.000230159 0.000161209
309 0.000149656 8.5976e-05
311 0.000201613 0.000200602
313 0.000162602 0.000161787
315 0.000222073 0.000172515
317 0.000145395 8.36887e-05
319 0.000210372 0.00014856
321 0.000120482 0.000119878
323 0.00016546 9.53813e-05
325 6.17284e-05 6.1419e-05
327 9.47867e-05 9.43116e-05
329 6.32911e-05 6.29738e-05
331 0.000239701 0.000196606
339 0.000184396 0.000142647
341 0.000304982 0.000226257
343 0.000288653 0.000176024
345 5.07614e-05 5.0507e-05
347 0.000122711 8.70708e-05
349 0.00015544 0.000154661
351 0.000163028 9.27815e-05
353 0.0001661 0.000124379
355 5.34759e-05 5.32078e-05
357 5.29101e-05 5.26449e-05
361 5.40541e-05 5.37832e-05
367 8.33333e-05 8.29156e-05
371 8.62069e-05 8.57748e-05
373 8.77193e-05 8.72796e-05
391 6.62252e-05 6.58932e-05
393 6.71141e-05 6.67777e-05
395 0.000136054 0.000135372
397 0.000206897 0.00020586
399 6.99301e-05 6.95796e-05
405 0.00015748 0.000156691
409 8.13008e-05 8.08933e-05
413 0.000343506 0.000240511
415 0.000264041 0.000196203
417 8.69565e-05 8.65206e-05
421 0.00018018 0.000179277
425 0.000186916 0.000185979
433 8.84956e-05 8.8052e-05
443 9.70874e-05 9.66007e-05
453 0.000107527 0.000106988
457 0.0001 9.94987e-05
459 0.000204082 0.000203059
461 0.000104167 0.000103645
477 0.000125 0.000124373
479 0.000128205 0.000127562
