#length inter_contacts overlapping_chains
212650 528332 1301
228049 579857 1499
221649 563167 1620
247622 625758 1257
216750 551745 1976
238035 595590 1498
222905 561254 1587
226052 574807 1982
224631 560989 1167
245517 620943 1285
211554 534040 1048
228040 574196 1049
217339 544363 1252
219143 542792 1310
232031 575093 1225
233637 579946 1344
234080 592736 1002
215349 540781 947
238685 594999 945
218994 551334 926
225671 566864 1109
224383 562468 1009
222465 557506 937
235581 588096 1281
212220 531430 967
210517 530301 1144
240597 603985 916
246208 611202 918
241231 602051 987
210147 525532 1077
216817 530790 1278
232677 577157 1141
235906 594314 1096
216801 548220 1203
240839 602359 1190
212936 536471 1154
238035 597921 1140
210976 531153 1197
243389 611246 1166
216354 545238 1132
228809 573614 1034
244081 616285 1507
226285 566772 1406
205447 511217 1109
223455 564055 1642
242011 605352 1410
217841 542508 1094
222997 563119 1201
211372 532592 1262
244945 610875 1350
227537 573361 1364
219828 543346 1127
246877 622046 1242
248704 625513 1400
208891 523602 1073
205382 515081 1192
226891 565987 1179
237915 599832 1395
212190 530560 845
230822 577669 1339
228468 571984 1128
228991 567970 959
219559 556430 1304
229950 577138 1059
220281 555220 1575
217591 553580 1533
231151 578094 1181
236889 594150 1611
216960 551132 1692
225173 565057 1576
221537 553187 1254
242850 612682 1682
209924 525356 1264
222844 555218 1099
229724 567781 1375
242452 606213 1410
211168 526209 1115
234451 585772 751
223363 562804 1100
237928 600647 1374
235452 592654 1384
216236 534616 1178
230620 572526 1076
219766 547798 1141
220019 548262 1170
247278 619166 1690
219071 547962 1270
220124 552370 1585
245206 621033 1365
216473 539479 1046
207003 512368 840
240412 609440 1486
237079 594667 1516
214829 543351 1148
234846 591007 1241
221168 554737 1201
219108 553224 1212
241097 603629 1232
232835 580959 1242
212608 538576 1550
