#n_data 100
#length inter_contacts overlapping_chains
464 1208 65
535 1439 81
500 1194 55
520 1335 71
492 1392 66
548 1410 69
469 1164 54
558 1362 43
511 1350 55
500 1263 47
467 1103 55
541 1206 43
518 1392 56
527 1331 65
496 1313 63
554 1275 49
495 1273 56
481 1196 55
471 1175 62
544 1593 109
502 1398 87
537 1520 92
482 1200 78
533 1504 96
528 1132 54
486 1256 53
489 1380 76
541 1487 62
475 1256 59
542 1597 82
537 1535 97
545 1472 72
476 1385 85
460 1370 79
527 1454 94
518 1306 66
474 1343 70
542 1412 79
502 1326 60
518 1306 61
527 1359 62
508 1460 79
521 1440 64
464 1207 67
535 1528 69
535 1416 61
475 1264 66
521 1421 64
531 1348 60
486 1371 61
517 1481 60
465 1244 58
540 1305 43
526 1427 70
545 1289 51
485 1229 58
547 1359 56
471 1249 55
506 1291 66
501 1357 56
529 1525 69
500 1409 85
516 1358 72
527 1476 72
501 1336 60
474 1278 64
476 1325 86
521 1404 71
538 1450 84
481 1354 75
511 1429 83
526 1306 58
511 1356 52
498 1465 90
537 1494 102
463 1189 64
551 1503 72
489 1327 83
464 1233 51
556 1379 64
540 1294 57
519 1274 60
471 1291 58
495 1325 57
483 1134 51
545 1415 52
513 1383 49
490 1334 57
537 1541 81
491 1303 63
491 1198 50
504 1376 68
536 1470 62
526 1444 58
498 1293 59
484 1261 68
534 1460 75
478 1344 72
531 1418 81
470 1293 76
