#MC_steps mean_autocorrelation stderr
0 1 0
100000 0.960927 7.89698e-05
200000 0.92528 0.000138005
300000 0.892756 0.000179555
400000 0.863076 0.000211444
500000 0.83598 0.000233493
600000 0.811253 0.000244928
700000 0.788696 0.000248248
800000 0.768134 0.000250371
900000 0.749372 0.000251925
1000000 0.732265 0.000251338
1100000 0.716658 0.000250305
1200000 0.702414 0.000248681
1300000 0.689436 0.000244485
1400000 0.6776 0.000236287
1500000 0.666801 0.000223112
1600000 0.656958 0.000211827
1700000 0.647989 0.000201335
1800000 0.639816 0.000186921
1900000 0.632359 0.000175017
2000000 0.625562 0.000163064
2100000 0.619381 0.00015426
2200000 0.613739 0.000145784
2300000 0.608595 0.000137896
2400000 0.603905 0.00012943
2500000 0.599637 0.000121784
2600000 0.595737 0.000114774
2700000 0.592179 0.000108007
2800000 0.588925 0.000100913
2900000 0.585957 9.55455e-05
3000000 0.583265 9.1858e-05
3100000 0.580804 8.89513e-05
3200000 0.578549 8.64818e-05
3300000 0.576498 8.37193e-05
3400000 0.57463 8.1089e-05
3500000 0.572931 7.77776e-05
3600000 0.571377 7.41498e-05
3700000 0.569956 6.98266e-05
3800000 0.568665 6.50028e-05
3900000 0.567479 6.0273e-05
4000000 0.566408 5.49083e-05
4100000 0.565428 4.97249e-05
4200000 0.564536 4.7172e-05
4300000 0.563736 4.44986e-05
4400000 0.563 4.17718e-05
4500000 0.562325 3.98017e-05
4600000 0.561702 3.70837e-05
4700000 0.561139 3.567e-05
4800000 0.56063 3.31565e-05
4900000 0.560173 3.16687e-05
5000000 0.55976 3.05991e-05
5100000 0.559391 2.95395e-05
5200000 0.559051 2.95244e-05
5300000 0.558739 2.98234e-05
5400000 0.558452 2.89966e-05
5500000 0.558197 2.69678e-05
5600000 0.557961 2.66594e-05
5700000 0.557751 2.48724e-05
5800000 0.557555 2.28818e-05
5900000 0.557367 2.14426e-05
6000000 0.557187 2.2084e-05
6100000 0.557021 2.20765e-05
6200000 0.556877 2.39247e-05
6300000 0.556746 2.47197e-05
6400000 0.556615 2.55764e-05
6500000 0.556494 2.55411e-05
6600000 0.556389 2.49616e-05
6700000 0.556288 2.376e-05
6800000 0.5562 2.32107e-05
6900000 0.556107 2.42278e-05
7000000 0.556035 2.55033e-05
7100000 0.555974 2.56516e-05
7200000 0.555929 2.61649e-05
7300000 0.555889 2.69703e-05
7400000 0.555844 2.83845e-05
7500000 0.55581 2.85385e-05
7600000 0.55578 2.7869e-05
7700000 0.555748 2.72087e-05
7800000 0.555721 2.74267e-05
7900000 0.555702 2.79486e-05
8000000 0.555682 2.92567e-05
8100000 0.555662 3.00212e-05
8200000 0.555645 3.00992e-05
8300000 0.55564 3.14479e-05
8400000 0.555639 3.22028e-05
8500000 0.555639 3.45547e-05
8600000 0.555628 3.57317e-05
8700000 0.555612 3.72256e-05
8800000 0.555595 3.82477e-05
8900000 0.555573 3.83156e-05
9000000 0.555556 3.73893e-05
9100000 0.555535 3.65046e-05
9200000 0.55552 3.57561e-05
9300000 0.55552 3.58538e-05
9400000 0.555528 3.69466e-05
9500000 0.555529 3.76477e-05
9600000 0.555529 3.78915e-05
9700000 0.555535 3.73643e-05
9800000 0.555535 3.61363e-05
9900000 0.555538 3.523e-05
10000000 0.555539 3.47293e-05
