#sequence_separation contact_probability stderr
3 0.160549 0.000117125
5 0.0799441 0.000115445
7 0.0483104 9.69246e-05
9 0.032885 8.38108e-05
11 0.0243533 7.88707e-05
13 0.0189055 6.54817e-05
15 0.0151287 6.5777e-05
17 0.0124846 5.89137e-05
19 0.0104973 5.6564e-05
21 0.00906149 4.96155e-05
23 0.00787897 4.9279e-05
25 0.00693962 4.79684e-05
27 0.00608597 4.39627e-05
29 0.00550308 4.55106e-05
31 0.00499307 3.94036e-05
33 0.004475 3.17756e-05
35 0.00417773 3.72818e-05
37 0.00381287 3.58719e-05
39 0.00360362 3.49332e-05
41 0.00329453 3.19729e-05
43 0.00303889 3.25536e-05
45 0.00285707 3.37919e-05
47 0.00267565 2.84306e-05
49 0.00247371 2.58098e-05
51 0.00236466 2.4185e-05
53 0.00222226 2.46835e-05
55 0.00208971 2.27334e-05
57 0.00198635 2.45333e-05
59 0.00188813 2.3587e-05
61 0.00178098 2.34353e-05
63 0.00170481 2.21916e-05
65 0.00162402 2.73163e-05
67 0.00149994 2.10279e-05
69 0.00145415 2.00692e-05
71 0.00139941 2.19852e-05
73 0.00135064 1.92199e-05
75 0.00133217 2.15171e-05
77 0.00130419 2.0011e-05
79 0.00124196 2.09807e-05
81 0.00119347 2.04425e-05
83 0.00115948 1.81813e-05
85 0.00112209 1.78207e-05
87 0.00108865 1.83026e-05
89 0.00102012 1.77271e-05
91 0.000999809 1.92779e-05
93 0.000971786 1.98024e-05
95 0.000923713 1.87527e-05
97 0.000897338 1.81166e-05
99 0.0008511 1.78114e-05
101 0.000848325 1.64713e-05
103 0.000815214 1.49886e-05
105 0.000799963 1.71399e-05
107 0.000776334 1.61638e-05
109 0.000737408 1.60665e-05
111 0.000708512 1.58348e-05
113 0.000705944 1.66884e-05
115 0.0007073 1.49999e-05
117 0.000668015 1.59707e-05
119 0.000654629 1.59237e-05
121 0.000664954 1.70939e-05
123 0.000635183 1.82892e-05
125 0.000628832 1.45057e-05
127 0.00059782 1.44028e-05
129 0.000593849 1.40596e-05
131 0.000571614 1.40619e-05
133 0.000550387 1.35043e-05
135 0.000521551 1.37597e-05
137 0.000514592 1.28484e-05
139 0.000503023 1.35691e-05
141 0.000511329 1.31371e-05
143 0.000483796 1.37227e-05
145 0.000487641 1.30024e-05
147 0.000472449 1.36693e-05
149 0.000480905 1.32586e-05
151 0.000458905 1.37534e-05
153 0.000446711 1.13187e-05
155 0.000428516 1.03094e-05
157 0.000415004 1.26876e-05
159 0.000421049 1.31789e-05
161 0.000423854 1.19002e-05
163 0.000399493 1.17009e-05
165 0.000414968 1.14053e-05
167 0.000401654 1.41527e-05
169 0.000416127 1.34247e-05
171 0.000390707 1.13135e-05
