#length inter_chain_contacts
12298 32077
10518 26733
10378 26569
12269 31073
11841 28794
10185 26865
10987 27751
12179 31160
10272 26495
12232 31029
11742 28721
12184 30552
10261 25338
10609 27518
12422 29764
11372 29015
11060 27467
10703 26334
10796 28054
11637 30204
11362 28902
10318 25080
11695 29811
12144 31294
10599 25466
12071 29528
10947 27618
12058 30395
11216 28033
11059 28040
12092 30412
12421 30284
11554 28457
10551 27545
10670 26552
11099 27863
11653 29654
11753 29392
10464 27224
11430 29163
10999 27628
10927 27774
12166 29907
12390 30334
11795 28968
11622 29607
11257 28477
10337 26359
11982 30246
12310 29481
11661 29734
11117 28284
11793 28761
11298 28039
10403 25827
11639 28579
11722 29136
11614 29492
11929 29671
11537 28553
10226 26829
10759 26217
10575 26611
11862 30651
10438 26380
10404 25988
11329 27082
11687 30006
11740 30085
12351 31033
10204 25916
11552 27851
11011 28085
12018 31471
11142 27929
11764 29568
11484 28803
12069 30882
11533 29157
11614 29437
10378 26500
11306 28397
11309 28924
10578 27207
12066 31081
10704 26778
10731 26541
11849 30143
11879 30768
12006 30419
10917 28053
11653 28399
11996 29139
11015 27553
10797 26940
11054 28522
11320 29278
11675 29725
11806 29693
10561 27306
