#n_data 100000
#phi_bin_left phi_bin_right probability stderr
0.0 0.1 0.0005615 8.23681e-06
0.1 0.2 0.0006105 7.96649e-06
0.2 0.3 0.0006483 8.92978e-06
0.3 0.4 0.0006979 5.43958e-06
0.4 0.5 0.0007591 8.08016e-06
0.5 0.6 0.0008898 7.49507e-06
0.6 0.7 0.0010525 8.36809e-06
0.7 0.8 0.0013532 1.3844e-05
0.80 0.81 0.001635 2.78298e-05
0.81 0.82 0.001715 4.38919e-05
0.82 0.83 0.001767 2.96665e-05
0.83 0.84 0.00197 4.65188e-05
0.84 0.85 0.002119 3.85344e-05
0.85 0.86 0.002221 4.35764e-05
0.86 0.87 0.002462 3.62436e-05
0.87 0.88 0.00287 6.0564e-05
0.88 0.89 0.003548 6.45105e-05
0.89 0.9 0.004794 7.39622e-05
0.900 0.901 0.00646 0.000262755
0.901 0.902 0.00715 0.000245459
0.902 0.903 0.00741 0.000399612
0.903 0.904 0.00938 0.000305549
0.904 0.905 0.01047 0.000212626
0.905 0.906 0.01189 0.000394576
0.906 0.907 0.01323 0.000282507
0.907 0.908 0.01101 0.000280161
0.908 0.909 0.00842 0.000339647
0.909 0.91 0.00428 0.000215314
0.910 0.911 0.00161 0.000123653
0.911 0.912 0.00036 9.50789e-05
0.912 0.913 4e-05 2.09762e-05
