#length n_overlapping_chains
12298 282
10518 250
10378 245
12269 360
11841 193
10185 318
10987 258
12179 363
10272 258
12232 249
11742 216
12184 350
10261 199
10609 220
12422 207
11372 272
11060 307
10703 221
10796 281
11637 297
11362 219
10318 178
11695 260
12144 310
10599 238
12071 244
10947 356
12058 303
11216 276
11059 258
12092 247
12421 280
11554 280
10551 308
10670 293
11099 285
11653 308
11753 246
10464 278
11430 207
10999 251
10927 264
12166 210
12390 325
11795 241
11622 234
11257 224
10337 247
11982 442
12310 235
11661 376
11117 307
11793 242
11298 185
10403 303
11639 234
11722 339
11614 286
11929 289
11537 310
10226 295
10759 213
10575 246
11862 284
10438 248
10404 176
11329 196
11687 340
11740 328
12351 335
10204 243
11552 295
11011 361
12018 321
11142 263
11764 367
11484 225
12069 345
11533 288
11614 418
10378 242
11306 226
11309 264
10578 330
12066 334
10704 286
10731 215
11849 205
11879 356
12006 263
10917 263
11653 247
11996 254
11015 266
10797 254
11054 346
11320 229
11675 332
11806 242
10561 257
