#sequence_separation contact_probability stderr
3 0.160605 0.00035819
5 0.0804567 0.000341311
7 0.0481708 0.000258501
9 0.0330717 0.0002469
11 0.0240638 0.000195746
13 0.0188637 0.000180738
15 0.0151468 0.000172787
17 0.0126436 0.000163477
19 0.0105946 0.00014712
21 0.00908209 0.000144414
23 0.00799113 0.000137167
25 0.0068786 0.000130799
27 0.0063302 0.000124728
29 0.0055957 0.000102658
31 0.00495403 0.000101065
33 0.00437096 8.54327e-05
35 0.00425016 9.13194e-05
37 0.0038874 9.44717e-05
39 0.00359839 9.43566e-05
41 0.00330908 8.46364e-05
43 0.00320349 9.05364e-05
45 0.00284596 7.86131e-05
47 0.00266187 7.71152e-05
49 0.00242623 8.20817e-05
51 0.00233499 7.65672e-05
53 0.00216593 7.67052e-05
55 0.0020678 7.77031e-05
57 0.00189706 7.12801e-05
59 0.00180303 7.44626e-05
61 0.00165611 7.28728e-05
63 0.00159536 6.79074e-05
65 0.00157492 6.93225e-05
67 0.0014486 5.83225e-05
69 0.00146673 6.28812e-05
71 0.0013544 5.46999e-05
73 0.0013115 5.59119e-05
75 0.00131874 6.19742e-05
77 0.00125618 5.21875e-05
79 0.00111144 4.66468e-05
81 0.00105169 4.54305e-05
83 0.00108391 5.47072e-05
85 0.00105633 4.86159e-05
87 0.00105525 4.61937e-05
89 0.00106105 4.98789e-05
91 0.000996017 5.01384e-05
93 0.00100304 5.28791e-05
95 0.000894146 4.13538e-05
97 0.000913851 4.93838e-05
99 0.000855483 4.66534e-05
101 0.000845761 5.39422e-05
103 0.000809471 4.41944e-05
105 0.000745418 4.52883e-05
107 0.000747246 4.56473e-05
109 0.000707943 4.93721e-05
111 0.000716652 4.87928e-05
113 0.000691715 4.8967e-05
115 0.000686208 4.28936e-05
117 0.000659875 3.68304e-05
119 0.000644572 4.33477e-05
121 0.000625208 4.04791e-05
123 0.000669003 4.75462e-05
125 0.000627202 4.08742e-05
127 0.000579355 4.02507e-05
129 0.000534293 3.36253e-05
131 0.00051751 3.10588e-05
133 0.000526158 3.00314e-05
135 0.00055167 3.65772e-05
137 0.000533405 3.72668e-05
139 0.000487088 3.73526e-05
141 0.000493058 3.67991e-05
143 0.000469112 3.65759e-05
145 0.000498622 3.45286e-05
147 0.000483377 3.29665e-05
149 0.000463741 3.47393e-05
151 0.000468141 3.65986e-05
153 0.000442868 3.69151e-05
155 0.000464332 3.46417e-05
157 0.000446224 3.18817e-05
159 0.000433575 3.37936e-05
161 0.000477242 3.53141e-05
163 0.000422399 3.01223e-05
165 0.000402725 3.00886e-05
167 0.00045655 3.22721e-05
169 0.000410038 2.91301e-05
171 0.000373457 2.70975e-05
173 0.000386287 2.70515e-05
175 0.000410511 3.13622e-05
177 0.000394928 3.20431e-05
179 0.000405019 3.15536e-05
181 0.000403718 3.47059e-05
183 0.000330112 2.7185e-05
185 0.000338666 3.25711e-05
187 0.000296173 2.7383e-05
189 0.000299289 2.54486e-05
191 0.000302 2.43508e-05
193 0.000300941 2.65382e-05
195 0.000322104 2.77341e-05
197 0.000343465 2.67823e-05
199 0.000387558 3.16691e-05
201 0.000352284 3.07678e-05
203 0.0003154 3.156e-05
205 0.000292778 2.63439e-05
207 0.000281422 2.40376e-05
209 0.000274358 2.56112e-05
211 0.000301468 2.63818e-05
213 0.000295953 2.92364e-05
215 0.000283178 2.39325e-05
217 0.000307364 2.83589e-05
219 0.000268976 2.76337e-05
221 0.000269229 2.84746e-05
223 0.000279289 2.89025e-05
225 0.0002464 2.78529e-05
227 0.000256603 2.83652e-05
229 0.000248164 2.70373e-05
231 0.000273898 3.08042e-05
233 0.000279668 2.95243e-05
235 0.000226875 2.3366e-05
237 0.000224248 2.21435e-05
239 0.000221253 2.39051e-05
241 0.00021852 2.21537e-05
243 0.000198597 1.94719e-05
245 0.000188585 2.19259e-05
247 0.000167277 2.05394e-05
249 0.000235888 2.42828e-05
251 0.000228979 2.66289e-05
253 0.00024753 2.62989e-05
255 0.000272037 2.6241e-05
257 0.000244946 2.50912e-05
259 0.000232034 2.29169e-05
261 0.000236394 2.5036e-05
263 0.000237882 2.60635e-05
265 0.000204951 2.39987e-05
267 0.000253754 3.01154e-05
269 0.00021068 2.36666e-05
271 0.000208026 2.19722e-05
273 0.000219478 2.42856e-05
275 0.000186533 2.00159e-05
277 0.000180745 2.41998e-05
279 0.000198113 2.257e-05
281 0.000166566 1.88892e-05
283 0.00018241 2.1957e-05
285 0.000146529 1.7218e-05
287 0.000168213 2.1715e-05
289 0.00021007 2.81679e-05
291 0.000156768 1.87604e-05
293 0.000191331 2.59702e-05
295 0.000197149 2.88402e-05
297 0.000159816 2.28561e-05
299 0.000182912 2.3832e-05
301 0.000195833 2.44695e-05
303 0.000207594 2.66271e-05
305 0.000185924 2.21538e-05
307 0.000197554 2.21083e-05
309 0.000165976 1.92969e-05
311 0.000141416 1.89225e-05
313 0.000171663 2.1458e-05
315 0.00017605 2.16307e-05
317 0.000193371 2.68363e-05
319 0.000176117 2.17534e-05
321 0.000167539 2.27137e-05
323 0.000145964 2.02755e-05
325 0.000175001 2.20699e-05
327 0.000131618 1.62461e-05
329 0.000162099 2.20643e-05
331 0.000165019 2.26263e-05
333 0.000121545 1.60782e-05
335 0.00011435 1.54954e-05
337 0.000128824 1.96423e-05
339 0.000139012 1.89879e-05
341 0.000101426 1.39795e-05
343 0.000114476 1.65582e-05
345 0.000114438 1.66672e-05
347 0.000102874 1.77707e-05
349 0.000129025 2.29292e-05
351 0.000113136 1.50168e-05
353 0.000110214 1.45083e-05
355 0.000130603 1.92928e-05
357 0.000135001 1.83835e-05
359 0.000134931 1.92573e-05
361 0.000113323 1.68877e-05
363 0.000123445 1.87332e-05
365 0.000120671 1.76932e-05
367 0.00012216 1.57635e-05
369 0.000138182 1.81022e-05
371 0.000126544 1.62869e-05
373 0.000113565 1.54933e-05
375 0.000106278 1.4829e-05
377 0.00011512 1.66643e-05
379 0.000119433 1.53179e-05
381 0.000123768 1.90196e-05
383 0.000113638 1.75485e-05
385 0.000123966 1.86354e-05
387 0.000125413 1.82207e-05
389 0.0001327 2.07346e-05
391 0.000132766 2.27987e-05
393 0.00010648 2.00745e-05
395 9.04898e-05 1.51172e-05
397 0.000103682 1.64205e-05
399 0.000131526 1.94358e-05
401 0.000116901 1.82382e-05
403 9.21627e-05 1.67584e-05
405 8.92222e-05 1.70446e-05
407 0.000119912 1.95481e-05
409 9.07725e-05 1.53319e-05
411 0.000102461 1.73676e-05
413 7.90532e-05 1.45494e-05
415 0.000103983 1.59468e-05
417 8.94083e-05 1.52204e-05
419 0.000102512 1.63668e-05
421 9.09131e-05 1.53396e-05
423 9.39314e-05 1.57394e-05
425 9.68828e-05 1.74182e-05
427 7.63532e-05 1.18417e-05
429 8.52737e-05 1.627e-05
431 7.79101e-05 1.43237e-05
433 6.62158e-05 1.27239e-05
435 0.00010436 1.71826e-05
437 8.67563e-05 1.41308e-05
439 9.71098e-05 1.6291e-05
441 0.000111827 2.07107e-05
443 8.68132e-05 1.47298e-05
445 7.94292e-05 1.28839e-05
447 9.72733e-05 1.46462e-05
449 8.10801e-05 1.42145e-05
451 0.000113452 2.03094e-05
453 9.28431e-05 1.63721e-05
455 9.87911e-05 1.57678e-05
457 0.00010176 1.88529e-05
459 6.78159e-05 1.40504e-05
461 8.25981e-05 1.32503e-05
463 6.64388e-05 1.34374e-05
465 8.71021e-05 2.19168e-05
467 7.82615e-05 2.07366e-05
469 8.41505e-05 1.55266e-05
471 7.23881e-05 1.4102e-05
473 7.38118e-05 1.52491e-05
475 9.16568e-05 1.56339e-05
477 9.30848e-05 1.75804e-05
479 9.90804e-05 1.69971e-05
481 9.17349e-05 1.6449e-05
483 8.43508e-05 1.54111e-05
485 8.14799e-05 1.50199e-05
487 7.85489e-05 1.56148e-05
489 7.85807e-05 1.33395e-05
491 6.51959e-05 1.36279e-05
493 6.82127e-05 1.44365e-05
495 7.56083e-05 1.57599e-05
497 7.85846e-05 1.56073e-05
499 0.000105328 1.72113e-05
501 8.45692e-05 1.37895e-05
503 8.46245e-05 1.39706e-05
505 7.57238e-05 1.33575e-05
