#sequence_separation contact_probability stderr
3 0.161509 0.000810893
5 0.0802224 0.000875216
7 0.0484331 0.000700405
9 0.0333872 0.000695016
11 0.0253434 0.000690556
13 0.0199943 0.000628454
15 0.0152696 0.000505104
17 0.0127192 0.000429304
19 0.0110226 0.000471147
21 0.0096253 0.000453092
23 0.00841029 0.00040714
25 0.00713741 0.00032971
27 0.00608389 0.000356565
29 0.00560704 0.000340261
31 0.00496987 0.00027287
33 0.00432706 0.000304777
35 0.00369578 0.000282277
37 0.00377399 0.000300633
39 0.00320533 0.000262803
41 0.00262308 0.000194587
43 0.00322077 0.000237226
45 0.00322717 0.00030345
47 0.00259564 0.000242364
49 0.00237901 0.000250408
51 0.0022904 0.00021771
53 0.00221329 0.00022117
55 0.00198495 0.000205806
57 0.00186037 0.000174056
59 0.0017467 0.000166398
61 0.00203444 0.000199933
63 0.00175569 0.000188819
65 0.00155798 0.000168849
67 0.0014425 0.000172292
69 0.00124218 0.00014027
71 0.00131669 0.00016629
73 0.00151228 0.000163363
75 0.00137137 0.000165828
77 0.000964217 0.000125123
79 0.001256 0.000187474
81 0.00107819 0.000161457
83 0.0010806 0.000174008
85 0.000852694 0.000167587
87 0.000720552 0.000118553
89 0.000941648 0.000148412
91 0.00101812 0.000157105
93 0.000860176 0.000130476
95 0.000874807 0.000160558
97 0.000901566 0.000160631
99 0.000804791 0.000143568
101 0.00106732 0.000163528
103 0.000945969 0.000172648
105 0.000723733 0.0001173
107 0.000938061 0.000146268
109 0.000890129 0.00012932
111 0.000816704 0.000118314
113 0.00088232 0.000177771
115 0.000935025 0.000203498
117 0.00105188 0.000150019
119 0.000775041 0.000149181
121 0.000866547 0.000180227
123 0.000715178 0.000130659
125 0.000716814 0.00014044
127 0.000859167 0.000143841
129 0.000746009 0.000146785
131 0.000593491 9.73047e-05
133 0.000684579 0.00014658
135 0.000648117 0.000126325
137 0.00072786 0.000136727
139 0.000703916 0.000137214
141 0.000575752 0.000106895
143 0.000603614 0.000127841
145 0.000499558 0.00010479
147 0.000408439 9.44419e-05
149 0.000660896 0.000139245
151 0.000529986 0.000110958
153 0.000478201 9.67104e-05
155 0.000400361 0.000109409
157 0.000428242 0.000107018
159 0.000523389 0.000107272
161 0.000644992 0.000158428
163 0.000430549 9.4939e-05
165 0.00059373 0.000116581
167 0.000432916 0.000106327
169 0.00037989 9.97257e-05
171 0.000517091 0.000113482
173 0.000655005 0.000139839
175 0.000479066 9.9423e-05
177 0.000548405 0.000130103
179 0.000673978 0.000142397
181 0.000523424 0.000124293
183 0.000345596 8.59433e-05
185 0.000415521 0.000113351
187 0.000375142 9.99126e-05
189 0.000376383 9.4162e-05
191 0.000265973 7.32343e-05
193 0.000252418 9.15525e-05
195 0.000295522 7.25977e-05
197 0.000239738 6.32972e-05
199 0.000353173 0.000104444
201 0.000339467 0.000100177
203 0.000340915 9.01786e-05
205 0.000284945 8.55042e-05
207 0.000314494 8.95355e-05
209 0.000301255 0.000104019
211 0.000172458 5.08964e-05
213 0.000346036 9.79967e-05
215 0.000245982 7.10536e-05
217 0.000304793 8.53616e-05
219 0.000291125 7.70407e-05
221 0.000219152 6.66269e-05
223 0.000292616 8.27799e-05
225 0.000234822 6.78964e-05
227 0.000191721 6.13924e-05
229 0.000133028 5.15704e-05
231 0.000133555 4.73827e-05
233 0.000222577 6.76099e-05
235 0.000193388 7.18897e-05
237 0.000208737 7.31068e-05
239 0.000119585 4.57035e-05
241 0.000210125 7.9462e-05
243 0.000256054 0.00011474
245 0.000120848 4.0982e-05
247 0.000196399 8.17088e-05
249 0.000166782 6.02677e-05
251 0.000319546 0.000103788
253 0.000275283 8.20373e-05
255 0.000337621 0.000109775
257 0.000215342 5.75992e-05
259 0.000339516 0.000105906
261 0.000309747 0.000102658
263 0.000232853 7.4003e-05
265 0.000279699 8.61327e-05
267 0.000172098 6.22011e-05
269 9.44902e-05 4.35655e-05
271 0.000141438 5.48787e-05
273 7.8841e-05 4.09518e-05
275 0.000205928 9.44489e-05
277 0.000206785 7.67581e-05
279 0.000159444 6.94422e-05
281 9.60531e-05 5.45131e-05
283 0.00011293 5.70989e-05
285 0.000193451 6.14968e-05
287 0.000113403 4.73011e-05
289 0.00014624 6.13119e-05
291 0.000178602 7.90892e-05
293 9.80954e-05 4.52422e-05
295 9.85244e-05 4.54271e-05
297 0.000230539 9.62903e-05
299 0.000280781 0.000136631
301 0.000132509 6.05766e-05
303 0.000264415 0.000125009
305 0.000199175 6.74695e-05
307 0.000199616 7.88823e-05
309 0.000149973 6.70278e-05
311 0.000217873 7.73488e-05
313 0.000134515 5.65969e-05
315 0.00021963 7.8e-05
317 0.000186534 7.90402e-05
319 0.000170131 5.10402e-05
321 0.0001881 6.8002e-05
323 0.000273746 0.000109984
325 0.000172184 7.88911e-05
327 0.000259074 9.88423e-05
329 0.000121382 4.42439e-05
331 0.000104352 4.13044e-05
333 0.000174343 6.74888e-05
335 0.000263196 7.59904e-05
337 0.000140787 4.77439e-05
339 0.000141159 5.39781e-05
341 0.000195196 6.5949e-05
343 0.000178004 5.90531e-05
345 0.000178069 6.89641e-05
347 0.000143117 6.03729e-05
349 0.000233526 9.72431e-05
351 0.000323749 0.00012809
353 0.000289337 0.000121765
355 0.000109159 5.02551e-05
357 0.00027396 0.000104537
359 0.000201972 0.000103692
361 5.50478e-05 3.13021e-05
363 3.69015e-05 2.58315e-05
365 0.000166294 7.44294e-05
367 0.000166638 6.46902e-05
369 0.000148358 9.67709e-05
371 0.000130496 6.57858e-05
373 0.00020681 8.80275e-05
375 0.000245258 8.72065e-05
377 0.000246901 9.16552e-05
379 0.000170787 7.62137e-05
381 0.000190555 9.52541e-05
383 0.000152678 8.36756e-05
385 0.000133919 7.27765e-05
387 0.000115386 5.31826e-05
389 0.000213223 8.17889e-05
391 0.00011681 5.38301e-05
393 0.000195698 0.000105529
395 9.82355e-05 5.11045e-05
397 0.000177442 7.93094e-05
399 0.000158266 7.2302e-05
401 9.90936e-05 5.86053e-05
403 3.99202e-05 3.97201e-05
405 5.98809e-05 3.40499e-05
407 0.000159843 6.73668e-05
409 0.000140605 6.51618e-05
411 0.000101421 5.26997e-05
413 8.11392e-05 3.97508e-05
415 6.11025e-05 3.47451e-05
417 0.000163351 8.00047e-05
419 0.000102841 5.33473e-05
421 6.16024e-05 3.50288e-05
423 8.27318e-05 5.00003e-05
425 4.14954e-05 2.90474e-05
427 6.22847e-05 4.59528e-05
429 0.000125001 7.10024e-05
431 0.000167983 7.07873e-05
433 0.000105619 8.65053e-05
435 6.37855e-05 4.71676e-05
439 2.15054e-05 2.13976e-05
441 4.26439e-05 4.24301e-05
443 4.28266e-05 4.26119e-05
445 4.3573e-05 4.33546e-05
447 0.000129777 7.98661e-05
449 0.000196752 0.000120483
451 0.000197905 0.000121061
453 8.84968e-05 5.35062e-05
455 6.66185e-05 3.78812e-05
457 0.000201345 9.00161e-05
459 0.000179679 0.000103884
461 0.000134837 6.20438e-05
463 6.77229e-05 5.01136e-05
465 0.000227697 9.92774e-05
467 9.18488e-05 4.49966e-05
469 0.000138356 7.15727e-05
471 0.000185082 0.000101977
473 0.00027918 0.000136917
475 0.000140188 7.25434e-05
477 0.000117317 6.1011e-05
479 9.44514e-05 5.70861e-05
481 9.48996e-05 5.73571e-05
483 7.10385e-05 4.03955e-05
485 4.78471e-05 3.34931e-05
487 0.000120136 7.89055e-05
489 4.80772e-05 3.36541e-05
491 2.42131e-05 2.40917e-05
493 0.000121776 8.00276e-05
495 0.000243557 0.000121895
497 0.000244982 0.000131838
499 0.000198023 0.000134281
501 0.0001473 0.000103167
503 9.90117e-05 7.77639e-05
505 9.96319e-05 4.88109e-05
507 0.000174942 8.85156e-05
509 0.00015139 9.33016e-05
511 0.000101785 6.16016e-05
513 7.69892e-05 4.3778e-05
515 0.000128672 6.69419e-05
517 7.77879e-05 5.7496e-05
519 0.000234446 0.000128261
521 7.86031e-05 5.8099e-05
523 7.86059e-05 4.46982e-05
525 0.000131101 8.57673e-05
529 7.98661e-05 4.54161e-05
531 0.000106102 6.41019e-05
533 0.000213772 9.00015e-05
535 0.000134488 6.98159e-05
537 0.000136399 0.000111993
539 0.000136392 8.93833e-05
541 5.46453e-05 3.82519e-05
543 5.52525e-05 3.86781e-05
545 5.60224e-05 5.57416e-05
547 8.29516e-05 6.11777e-05
549 2.77008e-05 2.75619e-05
551 8.42004e-05 4.78812e-05
553 2.80112e-05 2.78708e-05
555 5.64976e-05 3.95485e-05
557 0.0001138 6.86529e-05
559 0.000143942 7.50807e-05
561 8.67972e-05 4.93575e-05
565 0.000146463 9.57908e-05
567 2.93255e-05 2.91785e-05
571 0.00017875 0.000132135
573 0.000150701 7.82234e-05
575 0.00030306 0.000151977
577 0.000242805 0.000140251
579 0.000214648 0.000117232
581 0.000185008 0.000113948
583 0.000184625 0.00010465
585 0.000124432 7.48998e-05
587 0.000248853 0.00016215
589 0.000312717 0.000179147
591 9.52483e-05 5.41635e-05
593 9.58571e-05 5.45097e-05
595 0.000255204 0.000139944
597 0.000127796 0.000127155
599 0.000324498 0.00017444
601 9.70874e-05 7.17104e-05
603 9.989e-05 7.37139e-05
605 0.000233233 0.000172042
607 6.66733e-05 4.66737e-05
609 3.32226e-05 3.30561e-05
611 0.000133779 0.000133108
613 0.000171606 0.000113047
615 3.38983e-05 3.37284e-05
617 6.82594e-05 4.77816e-05
619 0.000103093 7.61461e-05
621 7.01893e-05 4.91374e-05
623 3.48432e-05 3.46685e-05
625 7.01754e-05 6.98236e-05
627 7.09229e-05 4.96463e-05
629 3.55872e-05 3.54088e-05
631 7.19434e-05 5.03607e-05
633 0.00014652 0.000145786
635 7.35304e-05 5.14716e-05
637 0.000148425 8.97281e-05
639 7.46279e-05 5.22399e-05
641 0.000112642 8.31148e-05
643 0.000113212 6.43762e-05
645 0.000267043 0.000155134
647 0.000230186 0.000130802
649 3.83142e-05 3.81221e-05
651 7.78257e-05 5.44797e-05
653 0.000156872 9.45229e-05
655 3.92157e-05 3.90191e-05
657 4.01606e-05 3.99593e-05
659 0.000121458 8.97106e-05
661 8.16327e-05 8.12235e-05
663 0.000288066 0.000286622
665 0.000163943 9.89082e-05
667 0.000123457 9.11873e-05
669 0.0001266 9.38326e-05
679 4.36681e-05 4.34492e-05
681 4.40529e-05 4.38321e-05
683 0.000178973 0.000140546
687 4.56621e-05 4.54332e-05
691 4.65116e-05 4.62785e-05
693 0.000140845 0.000140139
701 4.87805e-05 4.8536e-05
703 4.92611e-05 4.90142e-05
705 4.97512e-05 4.95018e-05
707 5.02513e-05 4.99994e-05
709 0.000102575 7.18063e-05
711 0.000103638 7.25506e-05
713 0.000365984 0.000258476
715 0.000104712 0.000104187
717 0.000162162 0.000161349
719 0.000159296 0.00011749
721 0.00032259 0.000225816
723 0.000328499 0.000229653
725 0.000111746 7.8227e-05
727 5.71429e-05 5.68565e-05
729 0.000170797 0.000125766
733 5.91716e-05 5.8875e-05
735 5.98802e-05 5.958e-05
737 5.91716e-05 5.8875e-05
739 5.98802e-05 5.958e-05
745 0.000127389 0.00012675
747 6.45161e-05 6.41927e-05
751 0.00013245 0.000131786
753 6.36943e-05 6.3375e-05
755 0.000333114 0.000239142
757 0.000134325 9.40621e-05
759 6.99301e-05 6.95796e-05
763 0.000141873 9.93209e-05
765 0.000214951 0.000160018
767 0.000292033 0.000204445
769 7.5188e-05 7.48111e-05
771 7.40741e-05 7.37028e-05
773 0.000152707 0.000106908
775 7.87402e-05 7.83455e-05
777 0.000237519 0.000176196
781 0.000162645 0.000113867
783 8.40336e-05 8.36124e-05
785 8.54701e-05 8.50417e-05
787 0.000173913 0.000173041
789 0.00017114 0.00011987
793 9.17431e-05 9.12832e-05
795 9.34579e-05 9.29894e-05
797 0.000360725 0.000279736
799 0.000187177 0.000131118
801 0.000190753 0.000133626
807 0.000299438 0.000218832
809 0.000314064 0.000234659
811 0.00043956 0.000437357
813 0.000449438 0.000447185
815 0.000229885 0.000228733
823 0.000126582 0.000125947
825 0.00012987 0.000129219
827 0.000133333 0.000132665
833 0.000289855 0.000288402
843 0.000508475 0.000505926
847 0.00035131 0.000246071
849 0.000175439 0.00017456
865 0.000243902 0.000242679
867 0.00025641 0.000255125
869 0.00027027 0.000268915
871 0.000285714 0.000284282
875 0.000645161 0.000641927
877 0.000689655 0.000686198
879 0.000740741 0.000737028
